"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         19,           9,      -8.841984696,      -5.888341092,      -6.021489457,      -3.347627776,      -5.168366153,      0.9329898399,      0.4200713244,      0.7683194008,                 0,                 0,                 0,     0.07681135646,      0.1770813524,      0.8575644663,                 0,       1.829021302,      0.5924505191,      -3.387767481,      -2.928972653,      -3.147580078,       -3.36106681,      -3.205640827,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,           9,      -8.860586837,       -5.92476953,      -6.068084425,      -3.370966578,      -5.229785005,      0.9329898399,      0.4005403288,      0.7227315267,                 0,                 0,                 0,     0.06139883482,      0.1717323729,       0.808258255,                 0,       1.804391405,      0.5914126313,      -3.408211488,      -2.973483389,      -3.207542729,      -3.385481882,      -3.281102109,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,           9,      -8.833867353,      -5.948230828,      -6.082815137,       -3.34647911,      -5.294086779,      0.9329898399,      0.3931373808,      0.7190694469,                 0,                 0,                 0,     0.05871328225,       0.165723587,      0.8025917781,                 0,       1.829053868,      0.6013753344,      -3.376881585,      -3.000987038,      -3.234630645,       -3.35541405,      -3.349679609,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         22,           9,      -8.830352847,      -5.934484753,      -6.060657678,      -3.346324748,      -5.338926589,      0.9329898399,       0.398871721,      0.7561120907,                 0,                 0,                 0,     0.06846669667,      0.1603771429,      0.8396923935,                 0,       1.895627218,       0.626338529,      -3.366101355,      -2.989741142,      -3.222990289,      -3.346767626,      -3.411603097,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,           9,      -8.806769362,      -5.931547958,      -6.035518648,      -3.326343861,      -5.305752722,      0.9329898399,      0.4159628932,      0.8236561392,                 0,                 0,                 0,     0.08778169368,      0.1569735435,      0.9092820634,                 0,       1.980119267,      0.6663022753,      -3.340089379,      -2.991747791,      -3.206014785,       -3.32305552,      -3.413647904,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,           9,      -8.780104662,      -5.935981239,      -6.009116396,      -3.296609413,      -5.322460664,      0.9329898399,      0.4393319832,      0.9026331062,                 0,                 0,                 0,      0.1103784563,       0.156230885,      0.9916405732,                 0,       2.054558149,      0.7072670616,      -3.315211213,        -3.0039462,       -3.18678179,      -3.293609212,      -3.480751504,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,           9,       -8.78357421,      -5.940858627,      -5.993910828,       -3.29724167,      -5.264971882,      0.9329898399,      0.4611074545,       0.968936906,                 0,                 0,                 0,      0.1275386644,      0.1576695168,       1.061413744,                 0,       2.101325616,      0.7792321464,       -3.31600157,      -3.016169336,      -3.181277872,      -3.289607544,       -3.46672871,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,           9,      -8.817462474,      -5.955104724,      -6.037543602,      -3.323716423,      -5.216088066,      0.9329898399,      0.4734081168,      0.9995678779,                 0,                 0,                 0,      0.1313140552,      0.1604770691,       1.094302654,                 0,       2.111429531,      0.8506984277,      -3.337457351,      -3.033813726,      -3.239903317,      -3.301549442,      -3.452578973,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,           9,      -8.783898781,      -5.918025613,      -6.042007379,      -3.291267458,       -5.27038548,      0.9329898399,      0.4738711235,      0.9862721465,                 0,                 0,                 0,       0.121481351,      0.1648071404,       1.081723253,                 0,       2.081308815,      0.9891641533,      -3.286165899,      -2.994780207,      -3.263722214,      -3.250193621,      -3.527473355,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,           9,      -8.774334747,      -5.903904894,      -6.030612941,      -3.281792423,      -5.176131313,      0.9329898399,      0.4685143416,      0.9444175016,                 0,                 0,                 0,      0.1076632641,      0.1719215382,       1.040131285,                 0,       2.015770741,      0.9731352586,      -3.263721108,      -2.976403607,      -3.271441279,      -3.228618678,      -3.456384457,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,           9,      -8.763654025,      -5.897133594,      -5.972765532,       -3.27052572,      -5.105013469,      0.9329898399,      0.4651000057,      0.8994939501,                 0,                 0,                 0,     0.09903860074,      0.1817907679,      0.9961724239,                 0,       1.933979658,      0.9431080716,      -3.248836556,      -2.969778878,      -3.228955163,      -3.215104208,      -3.435832621,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,           9,       -8.77725514,      -5.900035213,      -5.978793504,        -3.2926621,      -5.256524591,      0.9329898399,       0.467195868,      0.8702666472,                 0,                 0,                 0,     0.09783500977,      0.1923402873,       0.968834986,                 0,       1.862744743,      0.9100823687,      -3.259410572,       -2.98119222,      -3.246258705,      -3.235322382,      -3.657716952,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,           9,      -8.773822096,       -5.92109372,      -5.999908942,      -3.287224632,      -5.122315586,      0.9329898399,      0.4736955184,      0.8650489562,                 0,                 0,                 0,      0.1020177412,      0.2000814392,      0.9657455972,                 0,       1.826170868,      0.8910577365,      -3.246258075,      -3.014869526,      -3.274967791,      -3.219700991,      -3.594713923,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,           9,      -8.755704667,      -5.948943205,      -6.028273923,      -3.265067745,      -5.295448731,      0.9329898399,      0.4823286941,      0.8827978623,                 0,                 0,                 0,      0.1089405009,      0.2031481082,      0.9852430568,                 0,       1.830282695,       0.880034416,      -3.211856531,      -3.055505491,      -3.308163809,      -3.180306814,      -3.829698381,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,           9,      -8.751664537,      -5.936169689,      -6.019773329,      -3.266448965,      -5.256663284,      0.9329898399,      0.4909019681,      0.9161202514,                 0,                 0,                 0,       0.116269001,      0.2016042472,       1.019615999,                 0,        1.86619796,      0.8860122061,      -3.190569333,      -3.057321716,      -3.304165854,      -3.164666238,      -3.835407489,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,           9,      -8.783579415,      -5.923043651,      -5.989541202,      -3.307115226,      -5.306432313,      0.9329898399,      0.4993904186,      0.9584058412,                 0,                 0,                 0,      0.1238223058,      0.1973586828,       1.062535692,                 0,       1.919151441,      0.8969914709,      -3.208514641,      -3.063285333,       -3.28157909,      -3.193217654,      -3.915267109,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,           9,      -8.775101985,      -5.917272527,      -5.972047086,       -3.28881023,      -5.308953776,      0.9329898399,       0.509650769,       1.005009325,                 0,                 0,                 0,      0.1328169256,      0.1935451646,       1.110102661,                 0,        1.97195685,       0.834974331,      -3.187801845,      -3.080824944,      -3.277083523,      -3.165370284,      -3.937778595,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,           9,      -8.774155457,      -5.910526522,      -5.975424552,      -3.281337088,      -5.255321149,      0.9329898399,      0.5213565989,       1.047188672,                 0,                 0,                 0,      0.1419372055,      0.1924074579,       1.153861425,                 0,       2.008584286,      0.9269548201,      -3.172155541,      -3.100035878,      -3.297398968,      -3.145831673,      -3.894636385,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,           9,      -8.760077636,      -5.913050108,      -5.997416417,      -3.270194508,      -5.246342235,      0.9329898399,      0.5299255658,       1.069890629,                 0,                 0,                 0,      0.1461864927,      0.1939645919,       1.178076737,                 0,       2.018945108,       1.003937451,      -3.140752037,      -3.129388543,      -3.335892223,       -3.11888277,      -3.892103382,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,           9,      -8.744365029,      -5.909604102,       -6.00560757,      -3.255302362,      -5.275468799,      0.9329898399,      0.5297072428,       1.059331178,                 0,                 0,                 0,      0.1410905978,      0.1968430931,       1.167914853,                 0,       1.999842729,       1.001923954,      -3.110066512,      -3.152141782,      -3.357177036,      -3.088798277,        -3.9268889,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,           9,       -8.73047387,      -5.896447219,       -5.98337179,      -3.243329105,      -5.229964814,      0.9329898399,      0.5212070224,       1.017366705,                 0,                 0,                 0,      0.1293709618,      0.2009835164,       1.125298805,                 0,       1.951943588,      0.9919124836,      -3.088212212,      -3.162099535,      -3.344749404,      -3.067419735,      -3.884068363,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,           9,      -8.721223964,      -5.882783889,      -5.943851362,      -3.240083979,       -5.07909687,      0.9329898399,       0.510638822,      0.9619482284,                 0,                 0,                 0,      0.1182428402,      0.2070798906,       1.069212009,                 0,       1.883813347,      0.9679032156,      -3.075673136,      -3.166298714,      -3.313615318,      -3.059882015,      -3.738953003,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,           9,      -8.718942262,      -5.866811817,        -5.9415986,      -3.239187562,      -5.221685152,      0.9329898399,      0.5033173831,      0.9140913874,                 0,                 0,                 0,      0.1119810243,        0.21407035,       1.021305702,                 0,       1.816133156,      0.9248963095,      -3.068961787,        -3.1641667,      -3.320526154,        -3.0548019,      -3.899140321,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         42,           9,      -8.714837016,       -5.87591693,      -5.952585495,      -3.223928514,      -5.036623221,      0.9329898399,      0.5004600981,      0.8883529001,                 0,                 0,                 0,      0.1108651877,      0.2188631202,      0.9958564754,                 0,       1.775072385,      0.9088905706,      -3.055603877,      -3.185221208,      -3.342679845,        -3.0307415,      -3.757060226,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,           9,      -8.708011826,      -5.905588367,      -5.981697287,      -3.212974337,      -5.257707129,      0.9329898399,      0.5009600267,      0.8881109785,                 0,                 0,                 0,      0.1132003507,      0.2194119353,      0.9957712896,                 0,       1.772818052,       0.893886711,      -3.034642109,      -3.224984461,       -3.38644963,      -3.006455707,      -4.043121767,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,           9,      -8.730015152,      -5.909087375,      -5.965675663,      -3.248946032,       -5.21479166,      0.9329898399,      0.5027038956,      0.9073878679,                 0,                 0,                 0,       0.116794376,      0.2154435884,       1.014715728,                 0,       1.805014594,       0.894884354,      -3.040361891,      -3.238128294,      -3.389779985,      -3.028827465,      -4.058697368,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,           9,      -8.741749819,      -5.887069032,      -5.925710638,      -3.269568733,      -5.233045103,      0.9329898399,      0.5054706859,      0.9394181623,                 0,                 0,                 0,      0.1214270052,      0.2087247313,       1.046155383,                 0,       1.858501766,      0.7738871431,      -3.035650407,      -3.227478493,      -3.372319299,         -3.035016,      -4.116019701,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,           9,      -8.716819722,       -5.87517468,      -5.920296829,        -3.2363422,       -5.25438493,      0.9329898399,      0.5109886229,      0.9792803454,                 0,                 0,                 0,      0.1283841378,      0.2023469863,       1.085889067,                 0,       1.916442562,      0.7988879823,      -3.000977599,      -3.226318058,       -3.38938518,      -2.989745005,      -4.165106385,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,           9,       -8.71306532,      -5.875751783,      -5.926713707,      -3.223261434,      -5.185031113,      0.9329898399,      0.5193370794,       1.018972979,                 0,                 0,                 0,      0.1368489657,      0.1987256521,       1.126288173,                 0,       1.962064754,        0.88288919,        -2.9927023,      -3.233035763,      -3.415592829,       -2.97095143,      -4.118743626,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,           9,        -8.7154919,      -5.891714039,      -5.958146226,      -3.227107339,      -5.162267949,      0.9329898399,      0.5258097025,       1.043206274,                 0,                 0,                 0,      0.1417914204,      0.1978303226,          1.151355,                 0,       1.983999665,       1.005891278,       -2.99333199,      -3.251951826,      -3.463197709,      -2.974258427,      -4.118232645,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,           9,      -8.701999138,      -5.899788794,       -5.96800265,      -3.213834062,      -5.250422945,      0.9329898399,      0.5237155669,       1.035246844,                 0,                 0,                 0,      0.1374858754,      0.1981548029,       1.143131093,                 0,       1.976734909,       1.005898504,      -2.994570837,      -3.264486429,      -3.486134829,       -2.97359508,      -4.231846756,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,           9,      -8.681160683,      -5.877397411,      -5.951832596,      -3.194916503,       -5.20756159,      0.9329898399,      0.5120690326,      0.9928579671,                 0,                 0,                 0,      0.1251106828,      0.1994104749,       1.099189292,                 0,       1.938914294,      0.9949079127,      -2.999479792,      -3.252324752,      -3.479666601,      -2.981198802,      -4.226527372,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         51,           9,      -8.674052166,      -5.861598359,      -5.902277335,      -3.190613392,      -5.116347419,      0.9329898399,       0.497139032,      0.9327078192,                 0,                 0,                 0,      0.1121017091,      0.2027190456,        1.03730231,                 0,       1.876150853,      0.9689195487,      -3.015392195,      -3.252664131,      -3.437506643,      -3.006517907,      -4.165220081,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         52,           9,      -8.680523195,      -5.839492067,      -5.892831833,      -3.199781028,      -5.140077119,      0.9329898399,      0.4854022669,      0.8775659049,                 0,                 0,                 0,      0.1038197391,      0.2076170568,      0.9811383368,                 0,       1.807914723,      0.9229335442,      -3.029929637,      -3.249107835,      -3.437241957,      -3.029631727,      -4.202333795,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         53,           9,      -8.677762441,      -5.843813836,      -5.913877498,       -3.18844256,       -5.10512769,      0.9329898399,      0.4789047918,      0.8445894904,                 0,                 0,                 0,      0.1011309055,       0.211044861,      0.9477031569,                 0,       1.763585382,      0.8999487211,      -3.013444315,      -3.266060371,      -3.468408395,      -3.008474789,      -4.172084016,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         54,           9,      -8.653612014,      -5.875158919,      -5.933048754,      -3.155099682,      -5.229445112,      0.9329898399,      0.4766683127,       0.839535214,                 0,                 0,                 0,      0.1025796986,      0.2103838327,      0.9422158451,                 0,       1.761256605,      0.8769656602,      -2.971268273,      -3.294870592,      -3.494552636,      -2.963256906,      -4.299944624,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         55,           9,      -8.667841189,      -5.879905116,      -5.925089499,      -3.182056718,      -5.230084085,      0.9329898399,      0.4764237222,      0.8570174709,                 0,                 0,                 0,       0.105776329,      0.2050386125,      0.9588626992,                 0,       1.798855579,       0.874983763,      -2.993302978,       -3.28626042,      -3.491058392,      -3.007676863,      -4.301845489,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         56,           9,      -8.687837539,      -5.865068166,      -5.896748408,       -3.21249053,      -5.192013433,      0.9329898399,      0.4773192039,       0.889459379,                 0,                 0,                 0,      0.1100479047,      0.1964098698,      0.9901488637,                 0,       1.863447713,      0.7250074673,      -3.063080803,       -3.26638174,      -3.464770451,      -3.090874009,      -4.262845983,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         57,           9,      -8.657464857,      -5.858962588,       -5.89086812,      -3.171204376,      -5.193442243,      0.9329898399,      0.4807529258,      0.9312083744,                 0,                 0,                 0,      0.1165868776,      0.1874873295,        1.03107755,                 0,        1.93697911,      0.7630278241,       -3.09004033,      -3.271074224,      -3.453824381,      -3.097412227,      -4.266253715,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         58,           9,      -8.671024002,      -5.855922321,      -5.905435508,      -3.178184558,      -5.178752481,      0.9329898399,      0.4866619391,      0.9740292336,                 0,                 0,                 0,      0.1247228714,      0.1806185394,       1.073754969,                 0,       2.001449374,      0.8280490595,      -3.126278798,      -3.276826026,      -3.455029612,      -3.111687653,      -4.252311359,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
